10亿个浮点数求和
//env.setParallelism(1);
窗口大小	第一轮	第二轮	第三轮	第四轮	第五轮	均值
1	    134082	124081	125421	132303	127036	128585
2	    98567	98045	100703	125907	97806	104206
3	    110443	89650	89209	96291	92480	95615
4	    89363	91274	90966	107137	90996	93947
5	    91943	88979	91537	116264	95452	96835
6	    91777	95776	92160	91458	92380	92710
7	    90003	89865	109078	111162	91193	98260
8	    105858	91023	91129	92225	91812	94409
9	    91318	91543	93937	97940	91300	93208
10	    91376	89574	91845	90366	90148	90662

10		98969	93927	88687	98852	104086	96904	
20		90896	90807	95551	90548	91798	91920	
50		93495	90605	90759	93413	91126	91880	
100		91398	92868	91309	104742	104041	96872	
200		94139	91168	105245	93217	90805	94915	

//env.setParallelism(2); 1-1-1 ; fixed key
窗口大小	第1轮	第2轮	第3轮	第4轮	第5轮	第6轮	第7轮	第8轮	第9轮	第10轮	均值
1		133170	122884	142027	133322	123651	123331	124882	122941	123437	122308	127195	
2		100356	99120	106936	100522	100283	100249	100271	104895	120477	100720	103383	
5		85899	92022	86782	91048	89988	87321	88073	92853	96160	86261	89641	
10		81880	77382	77712	77806	78615	79329	79568	86501	78706	91781	80928	
20		73905	75187	75591	74853	79397	75144	75036	76020	86009	75528	76667	
50		79833	70220	70679	71689	71555	70706	74758	71551	76319	70827	72814	
100		76197	73836	71428	72562	84406	71826	71684	71141	70571	77125	74078	
200		91517	70372	76297	74767	70272	71883	70592	86261	78830	72000	76279	
500		82479	70824	71376	71135	83510	71898	70710	71630	82944	72267	74877	
1000	71824	74027	73039	73471	79814	72766	82255	70672	70437	88315	75662
2000	70830	70797	75622	77037	70265	71584	83735	71253	71276	76897	73930
5000	71288	83018	71566	71113	77834	76267	82055	71080	70806	78983	75401
10000	78506	71848	70117	69842	70350	70172	70285	76070	70834	70933	71896
20000	70580	72666	78927	72774	71811	71027	70890	72062	89339	71457	74153
50000	75876	71701	86230	72152	73326	72215	72785	68969	69797	69614	73267
100000	70957	77842	70490	70918	84746	72044	78300	76790	71772	71863	74572
